VinCatName,PriceCatName,Nu4,No4,Bu4,Bo4,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Brb,Personal Care Services,0.6,0.57,0.8,0.77,81.9,89.1,95.4,100.3,104.3,108.3,111.9,115.1,119.4,125.0,130.4,134.9,138.3,141.5,144.6,147.1,150.1,152.7,156.7,161.1,165.6,170.5,174.7,178.0,181.7,185.6,190.2,195.622,201.279,204.587,206.643,,
Clo,Apparel,0.78,0.67,0.8,0.76,90.9,95.3,97.8,100.2,102.1,105.0,105.9,110.6,115.4,118.6,124.1,128.7,131.9,133.7,133.4,132.0,131.7,132.9,133.0,131.3,129.6,127.3,124.0,120.9,120.4,119.5,119.5,118.998,118.907,120.078,119.503,,
Cig,Tobacco and Smoking Products,0.75,0.76,0.81,0.75,72.0,77.8,86.5,103.4,110.1,116.7,124.7,133.6,145.8,164.4,181.5,202.7,219.8,228.4,220.0,225.7,232.8,243.7,274.8,355.8,394.9,425.2,461.5,469.0,478.0,502.8,519.9,554.184,588.682,730.316,807.330,,
Jwl,Jewelry and watches,0.68,0.65,0.74,0.75,,,,,,,,106.2,114.3,121.0,131.0,137.5,142.9,146.5,151.0,152.6,149.6,145.4,142.4,140.7,137.0,136.9,133.2,128.7,129.5,127.6,130.7,137.092,146.522,149.181,152.367,,
Car,New and used motor vehicles,0.72,0.72,0.78,0.72,,,,,,,,,,,,,,91.8,95.5,99.4,101.0,100.5,100.1,100.1,100.8,101.3,99.2,96.5,94.2,95.6,95.6,94.303,93.291,93.486,97.149,,
FdO,Food away from home,0.67,0.58,0.66,0.68,83.4,90.9,95.8,100.0,104.2,108.3,112.5,117.0,121.8,127.4,133.4,137.9,140.7,143.2,145.7,149.0,152.7,157.0,161.1,165.1,169.0,173.9,178.3,182.1,187.5,193.4,199.4,206.659,215.769,223.272,226.114,,
Ot1,Televisions,0.68,0.64,0.78,0.67,104.6,105.5,104.1,100.5,95.5,88.7,83.2,79.7,77.6,76.1,74.6,72.9,72.4,70.7,69.9,68.1,64.5,61.7,59.2,54.9,49.9,44.8,40.1,34.9,30.0,26.6,22.3,16.938,13.984,10.605,7.985,,
FdH,Food at home,0.51,0.49,0.63,0.67,88.4,94.8,98.1,99.1,102.8,104.3,107.3,111.9,116.6,124.2,132.3,135.8,136.8,140.1,144.1,148.8,154.3,158.1,161.1,164.2,167.9,173.4,175.6,179.4,186.2,189.8,193.1,201.245,214.125,215.124,215.836,,
Edu,Tuition other school fees and childcare",0.55,0.55,0.63,0.66,71.2,79.9,90.5,99.7,109.8,119.7,129.6,140.0,151.0,162.7,175.7,191.4,208.5,225.3,239.8,253.8,267.1,280.4,294.2,308.4,324.0,341.1,362.1,386.7,414.3,440.9,468.1,494.079,522.098,548.971,573.174,,
Cel,Wireless Telephone Services,0.47,0.43,0.58,0.65,,,,,,,,,,,,,,,,,,,95.1,84.9,76.0,68.1,67.4,66.8,66.2,65.0,64.6,64.383,64.240,64.257,62.395,,
AlO,Alcoholic Beverages away from home,0.65,0.56,0.63,0.64,82.9,90.1,95.2,99.8,105.1,111.1,118.5,123.4,130.6,137.4,144.4,156.9,162.5,167.4,171.6,176.5,182.7,189.4,195.0,201.0,207.1,215.2,222.5,228.6,236.6,244.5,254.6,265.969,277.394,285.550,291.892,,
AlH,Alcoholic Beverages at home,0.66,0.57,0.62,0.63,87.3,93.1,97.0,100.6,102.4,105.2,109.3,111.5,114.2,117.9,123.0,137.8,141.6,142.2,142.5,143.1,146.8,149.5,150.6,153.7,158.1,161.1,164.0,166.5,170.2,172.3,174.9,179.094,184.904,190.281,190.966,,
Fur,Furniture and bedding,0.69,0.68,0.73,0.62,88.0,93.8,97.7,100.1,102.1,104.9,107.2,109.7,113.2,113.9,115.7,116.6,120.6,123.5,128.2,130.9,134.1,134.5,135.0,134.9,134.4,132.2,129.4,127.7,127.3,125.9,127.0,125.836,124.535,124.787,119.738,,
Ot2,Cable and satellite television and radio service,0.61,0.57,0.61,0.59,,,,,103.9,110.6,115.5,123.1,132.9,144.0,158.4,175.7,186.2,198.9,197.4,200.7,212.6,228.7,245.2,254.6,266.8,278.4,295.0,309.5,322.4,331.9,344.9,351.475,359.930,367.574,372.379,,
Bks,Recreational reading materials,0.58,0.56,0.61,0.59,77.7,85.9,94.3,101.2,104.5,110.7,115.6,119.5,124.3,129.5,136.2,144.7,150.9,156.2,161.3,168.1,176.4,179.0,184.1,186.1,188.3,191.4,195.8,197.5,201.2,203.9,205.3,207.330,211.981,220.277,220.671,,
Cmn,Motor vehicle maintainance,0.38,0.41,0.52,0.57,81.5,89.2,96.0,100.3,103.8,106.8,110.3,114.8,119.7,124.9,130.1,136.0,141.3,145.9,150.2,154.0,158.4,162.7,167.1,171.9,177.3,183.5,190.2,195.6,200.2,206.9,215.6,222.963,233.859,243.337,247.954,,
Hom,Housing,0.54,0.47,0.56,0.56,81.1,90.4,96.9,99.5,103.6,107.7,110.9,114.2,118.5,123.0,128.5,133.6,137.5,141.2,144.8,148.5,152.8,156.8,160.4,163.9,169.6,176.4,180.3,184.8,189.5,195.7,203.2,209.586,216.264,217.057,216.256,,
Htl,other lodging away from home including hotels and motels,0.46,0.44,0.55,0.55,75.8,84.5,94.2,99.0,106.8,114.2,118.4,125.7,132.9,138.4,152.5,174.1,184.2,189.4,195.1,203.1,213.7,224.1,234.5,241.2,252.4,254.0,251.4,252.2,265.3,274.2,285.6,299.905,300.970,279.215,280.431,,
Bus,Public transportation,0.44,0.41,0.64,0.55,69.0,85.6,94.9,99.5,105.7,110.5,117.0,121.1,123.3,129.5,142.6,148.9,151.4,167.0,172.0,175.9,181.9,186.7,190.3,197.7,209.6,210.6,207.4,209.3,209.1,217.3,226.6,230.002,250.549,236.348,251.351,,
Air,Airline Fare,0.44,0.46,0.52,0.53,68.0,85.6,94.4,99.8,105.8,112.5,117.1,122.8,124.2,131.6,148.4,155.2,155.2,178.7,185.5,189.7,192.5,199.2,205.3,218.8,239.4,239.4,231.6,231.3,227.2,236.6,247.3,251.686,281.998,257.971,278.186,,
Gas,Motor Fuel,0.34,0.4,0.44,0.52,97.4,108.5,102.8,99.4,97.9,98.7,77.1,80.2,80.9,88.5,101.2,99.4,99.0,98.0,98.5,100.0,106.3,106.2,92.2,100.7,129.3,124.7,116.6,135.8,160.4,195.7,221.0,239.070,279.652,201.978,239.178,,
Tel,Telephone Services,0.25,0.28,0.44,0.51,,,,,,,,,,,,,,,,,,,100.7,100.1,98.5,99.3,99.7,98.3,95.8,94.9,95.8,98.247,100.451,102.392,102.379,,
Cha,,0.36,0.3,0.55,0.49,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Lry,Laundry equipment,0.32,0.31,0.51,0.48,83.7,89.8,96.3,100.6,103.2,104.0,104.8,104.1,105.1,105.9,107.2,106.2,105.8,106.7,109.0,109.6,111.9,113.1,112.5,110.5,111.9,111.6,110.7,110.8,107.5,110.6,111.9,115.848,117.332,116.154,110.218,,
Utl,Fuel and Utilities,0.25,0.31,0.46,0.47,75.4,86.4,94.9,100.2,104.8,106.5,104.1,103.0,104.4,107.8,111.6,115.3,117.8,121.3,122.8,123.7,127.5,130.8,128.5,128.8,137.9,150.2,143.6,154.5,161.9,179.0,194.7,200.632,220.018,210.696,214.187,,
Med,Medical care,0.32,0.37,0.48,0.4,74.9,82.9,92.5,100.6,106.8,113.5,122.0,130.1,138.6,149.3,162.8,177.0,190.1,201.4,211.0,220.5,228.2,234.6,242.1,250.6,260.8,272.8,285.6,297.1,310.1,323.2,336.2,351.054,364.065,375.613,388.436,,
Fee,Professional services,0.24,0.26,0.3,0.38,77.9,85.9,93.2,99.8,107.0,113.5,120.8,128.8,137.5,146.4,156.1,165.7,175.8,184.7,192.5,201.0,208.3,215.4,222.2,229.2,237.7,246.5,253.9,261.2,271.5,281.7,289.3,300.792,310.968,319.372,328.186,,
Cin,Motor vehicle insurance,0.22,0.19,0.38,0.35,82.0,85.9,91.4,100.4,108.2,119.2,135.0,146.2,156.6,166.6,177.9,191.5,205.5,216.7,224.8,234.3,243.9,251.6,254.3,253.8,256.7,268.1,291.6,314.4,323.2,329.9,331.8,333.143,341.519,356.997,375.180,,
Hin,Tenants' and household insurance,0.13,0.16,0.33,0.29,,,,,,,,,,,,,,,,,,,99.8,101.3,103.7,106.2,108.7,114.8,116.2,117.6,116.5,117.004,118.843,121.487,125.682,,
Lin,Health insurance,0.15,0.14,0.31,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,113.520,114.221,110.527,106.627,,
Und,Apparel,0.14,0.09,0.28,0.2,90.9,95.3,97.8,100.2,102.1,105.0,105.9,110.6,115.4,118.6,124.1,128.7,131.9,133.7,133.4,132.0,131.7,132.9,133.0,131.3,129.6,127.3,124.0,120.9,120.4,119.5,119.5,118.998,118.907,120.078,119.503,,
