"VinCat Abrev","Vindex Category","PriceCatName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2012
"Brb","barbershops, beauty parlors, hair dresser, health clubs, etc.","Personal Care Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clo","clothing and shoes, not including underwear, undergarments and nightwear","Apparel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cig","tobacco products like cigarettes, cigars, and pipe tobacco","Tobacco and Smoking Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jwl","jewelry and watches","Jewelry and watches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Car","the purchase of new and used motor vehicles such as cars, trucks, and vans","New and used motor vehicles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FdO","dining out at restaurants, drive-thrus, etc, exl. Alcohol; incl. Food at school","Food away from home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ot1","computers, games, TVs, video, audio, musical and sports equipment, tapes, CDs.","Televisions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FdH","food and nonalcoholic beverages at grocery, specialty and convenience stores.","Food at home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edu","education, from nursery to college, like tuition and other school expenses.","Tuition, other school fees, and childcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cel","mobile phone services.","Wireless Telephone Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AlO","alcoholic beverages at restaurants, bars, cafeterias, cafes, etc.","Alcoholic Beverages away from home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AlH","alcoholic beverages for home use.","Alcoholic Beverages at home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fur","home furnishings and household items, like furniture, appliances, tools, linen.","Furniture and bedding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ot2","cable TV, pets and veterinarians, sports, country clubs, movies, and concerts.","Cable and satellite television and radio service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bks","books incl. School books, newspapers and magazines, toys, games, and hobbies.","Recreational reading materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cmn","vehicle maintenance, mechanical and electrical repair and replacement.","Motor vehicle maintainance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hom","rent, or mortgage, or purchase, of housing","Housing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Htl","lodging away from home on trips, and housing for someone away at school.","other lodging away from home including hotels and motels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bus","public transportation, both local and long distance, like busses and trains.","Public transportation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air","airline fares for out-of-town trips.","Airline Fare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gas","gasoline and diesel fuel for motor vehicles.","Motor Fuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tel","home telephone services, not including mobile phones.","Telephone Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cha","contributions to churches or other religious organizations, and other charities.","Missing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lry","laundry and dry cleaning.","Laundry equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utl","home utilities such as electricity, gas, and water; garbage collection.","Fuel and Utilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Med","medical care, incl. Health insurance, drugs, dentists, doctors, hospitals, etc.","Medical care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fee","legal fees, accounting fees, and occupational expenses like tools and licenses.","Professional services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cin","vehicle insurance, like insurance for cars, trucks, and vans.","Motor vehicle insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hin","homeowners insurance, fire insurance, and property insurance.","Tenants' and household insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin","life insurance, endowment, annuities, and other death-benefits insurance.","Health insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
